,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
610,51.02.08.2015,Tajen,Penebel,Tabanan,Bali,91.57,2.69,1.91,3.83,90.47,2.86,2.24,4.43,91.24,2.67,2.19,3.89,89.37,3.23,2.45,4.95,100.00,0.00,0.00,0.00,99.51,0.43,0.03,0.02,0.01
611,51.08.08.2004,Tajun,Kubutambahan,Buleleng,Bali,96.15,0.94,0.62,2.29,95.77,0.89,0.81,2.54,95.95,0.84,0.79,2.42,95.46,1.02,0.82,2.70,100.00,0.00,0.00,0.00,99.59,0.38,0.02,0.01,0.00
612,51.05.02.2002,Takmung,Banjarangkan,Klungkung,Bali,88.67,3.95,3.18,4.20,86.92,4.46,3.63,4.99,88.09,4.08,3.25,4.58,85.61,5.18,3.86,5.35,50.00,10.48,2.42,37.10,99.46,0.47,0.03,0.03,0.01
613,51.07.02.2002,Talibeng,Sidemen,Karangasem,Bali,89.31,1.33,1.64,7.72,88.35,1.29,1.40,8.95,88.92,1.37,1.35,8.36,87.43,1.53,1.24,9.80,100.00,0.00,0.00,0.00,99.71,0.27,0.01,0.01,0.00
614,51.03.03.2010,Taman,Abiansemal,Badung,Bali,91.57,3.51,2.09,2.84,90.34,3.82,2.58,3.27,91.10,3.72,2.29,2.89,89.75,3.87,2.84,3.54,100.00,0.00,0.00,0.00,99.47,0.45,0.03,0.03,0.02
615,51.06.02.2002,Tamanbali,Bangli,Bangli,Bali,90.29,1.87,1.23,6.60,85.21,2.20,1.38,11.21,87.28,1.83,1.23,9.65,82.05,2.50,1.29,14.15,100.00,0.00,0.00,0.00,99.50,0.44,0.03,0.02,0.01
616,51.08.08.2001,Tambakan,Kubutambahan,Buleleng,Bali,92.32,0.78,0.79,6.11,91.76,0.79,0.76,6.68,92.06,0.78,0.74,6.42,91.46,0.79,0.78,6.97,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.00
617,51.08.08.2007,Tamblang,Kubutambahan,Buleleng,Bali,91.44,1.32,0.93,6.32,90.91,1.30,1.00,6.79,91.04,1.34,0.96,6.66,90.25,1.33,1.16,7.26,100.00,0.00,0.00,0.00,99.61,0.33,0.02,0.02,0.01
618,51.04.04.2003,Tampaksiring,Tampaksiring,Gianyar,Bali,89.23,1.50,1.24,8.03,88.46,1.54,1.26,8.74,88.91,1.49,1.36,8.25,88.05,1.53,1.37,9.05,100.00,0.00,0.00,0.00,99.47,0.46,0.04,0.03,0.01
619,51.08.04.2011,Tampekan,Banjar,Buleleng,Bali,68.10,4.93,5.70,21.26,66.87,4.62,6.01,22.50,67.18,5.08,6.16,21.57,65.49,4.78,4.78,24.96,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
620,51.02.02.2006,Tangguntiti,Selemadeg Timur,Tabanan,Bali,91.45,3.46,1.71,3.38,90.39,3.77,2.05,3.79,91.04,3.55,1.84,3.57,89.80,3.80,2.21,4.18,85.83,7.87,4.72,1.57,99.43,0.47,0.03,0.03,0.04
621,51.08.02.2011,Tangguwisia,Seririt,Buleleng,Bali,62.87,24.75,8.43,3.95,56.31,27.20,11.67,4.82,58.89,26.45,10.17,4.49,52.99,27.33,13.87,5.81,100.00,0.00,0.00,0.00,99.36,0.58,0.03,0.02,0.01
622,51.05.03.2006,Tangkas,Klungkung,Klungkung,Bali,71.00,11.74,10.18,7.08,63.27,16.87,9.47,10.39,68.15,13.49,10.75,7.62,59.89,18.51,7.62,13.99,20.00,9.23,4.62,66.15,99.41,0.53,0.03,0.02,0.01
623,51.05.01.2006,Tanglad,Nusa Penida,Klungkung,Bali,93.69,1.04,0.89,4.38,93.34,1.05,0.91,4.70,93.45,1.00,0.96,4.59,93.03,1.06,0.96,4.96,97.82,1.09,0.65,0.44,99.46,0.43,0.04,0.04,0.03
624,51.03.05.1005,Tanjung Benoa,Kuta Selatan,Badung,Bali,93.44,6.10,0.39,0.07,93.18,6.30,0.46,0.07,93.25,6.23,0.46,0.07,92.85,6.30,0.79,0.07,0.00,0.00,5.71,94.29,99.34,0.49,0.06,0.06,0.06
625,51.04.06.2007,Taro,Tegallalang,Gianyar,Bali,91.23,0.95,0.87,6.96,90.84,0.92,0.85,7.40,91.15,0.88,0.84,7.12,90.53,0.94,0.81,7.72,100.00,0.00,0.00,0.00,99.65,0.32,0.02,0.01,0.00
626,51.05.03.2017,Tegak,Klungkung,Klungkung,Bali,92.80,1.82,1.11,4.27,91.69,2.36,0.89,5.07,92.22,2.18,1.02,4.58,90.98,2.71,0.93,5.38,100.00,0.00,0.00,0.00,99.65,0.32,0.01,0.01,0.01
627,51.01.01.2010,Tegal Badeng Barat,Negara,Jembrana,Bali,89.56,6.14,2.92,1.38,88.13,7.13,3.22,1.52,89.09,6.45,3.03,1.43,87.69,7.19,3.42,1.71,63.86,20.48,6.02,9.64,99.53,0.42,0.02,0.02,0.01
628,51.01.01.2009,Tegal Badeng Timur,Negara,Jembrana,Bali,77.50,10.07,10.24,2.18,76.46,6.56,13.70,3.28,77.14,8.04,12.31,2.52,75.66,5.89,12.82,5.63,32.94,48.24,12.94,5.88,99.63,0.33,0.02,0.02,0.01
629,51.71.03.2008,Tegal Harum,Denpasar Barat,Kota Denpasar,Bali,78.96,13.82,5.10,2.13,74.60,16.58,6.06,2.76,77.36,14.67,5.74,2.23,72.58,17.64,6.48,3.29,0.00,0.00,0.00,100.00,99.39,0.49,0.04,0.04,0.03
630,51.71.03.2009,Tegal Kertha,Denpasar Barat,Kota Denpasar,Bali,83.81,9.84,5.52,0.83,81.60,9.94,6.90,1.56,83.53,9.38,6.16,0.92,80.40,10.49,7.36,1.75,0.00,0.00,0.00,100.00,99.42,0.48,0.04,0.04,0.02
631,51.02.02.2008,Tegal Mengkeb,Selemadeg Timur,Tabanan,Bali,89.97,2.57,2.07,5.40,89.35,2.62,2.01,6.02,89.67,2.52,2.22,5.59,88.90,2.76,2.07,6.27,65.85,10.98,4.88,18.29,99.40,0.50,0.05,0.04,0.02
632,51.04.03.2017,Tegal Tugu,Gianyar,Gianyar,Bali,92.21,2.05,0.76,4.99,91.18,2.40,1.02,5.39,91.85,2.27,0.80,5.08,90.96,2.45,0.76,5.83,100.00,0.00,0.00,0.00,99.36,0.55,0.03,0.03,0.03
633,51.01.02.1006,Tegalcangkring,Mendoyo,Jembrana,Bali,82.04,7.75,2.45,7.76,79.55,8.51,3.43,8.51,80.69,8.26,3.00,8.04,78.00,8.68,4.00,9.32,84.87,6.13,6.32,2.68,99.64,0.32,0.02,0.01,0.01
634,51.07.04.2010,Tegalinggah,Karangasem,Karangasem,Bali,87.08,1.26,0.98,10.68,86.49,1.30,1.16,11.06,86.87,1.33,1.05,10.75,86.28,1.16,1.23,11.34,100.00,0.00,0.00,0.00,99.65,0.32,0.02,0.01,0.00
635,51.02.07.2005,Tegaljadi,Marga,Tabanan,Bali,89.73,3.04,1.39,5.84,88.01,3.75,1.86,6.39,89.53,3.01,1.52,5.95,85.88,5.27,2.20,6.66,100.00,0.00,0.00,0.00,99.46,0.48,0.03,0.02,0.01
636,51.04.06.2002,Tegallalang,Tegallalang,Gianyar,Bali,91.45,1.18,1.18,6.19,91.10,1.29,1.02,6.59,91.42,1.19,1.05,6.35,90.76,1.42,1.02,6.80,100.00,0.00,0.00,0.00,99.36,0.55,0.04,0.03,0.03
637,51.02.08.2016,Tegallinggah,Penebel,Tabanan,Bali,92.81,1.90,1.66,3.62,91.95,1.90,1.78,4.36,92.48,2.03,1.72,3.78,91.25,2.00,1.78,4.98,100.00,0.00,0.00,0.00,99.50,0.44,0.03,0.02,0.01
638,51.08.05.2013,Tegallinggah,Sukasada,Buleleng,Bali,91.84,1.73,1.30,5.13,90.88,1.72,1.49,5.91,91.18,1.72,1.53,5.57,90.30,1.80,1.70,6.20,100.00,0.00,0.00,0.00,99.65,0.29,0.03,0.02,0.01
639,51.08.09.2006,Tejakula,Tejakula,Buleleng,Bali,92.81,1.82,1.17,4.19,91.47,2.41,1.48,4.64,92.35,1.98,1.31,4.35,91.43,2.23,1.60,4.75,97.76,2.24,0.00,0.00,99.58,0.38,0.02,0.01,0.01
640,51.08.03.2005,Telaga,Busungbiu,Buleleng,Bali,87.66,2.11,2.36,7.86,86.78,2.23,2.48,8.52,87.14,2.14,2.41,8.32,85.71,2.27,2.11,9.91,100.00,0.00,0.00,0.00,99.70,0.27,0.01,0.01,0.00
641,51.07.02.2005,Telagatawang,Sidemen,Karangasem,Bali,91.64,1.55,1.30,5.51,90.24,1.88,1.42,6.45,91.33,1.65,1.17,5.84,89.56,2.21,1.47,6.76,100.00,0.00,0.00,0.00,99.71,0.25,0.01,0.01,0.01
642,51.08.09.2010,Tembok,Tejakula,Buleleng,Bali,96.85,1.36,0.87,0.92,94.70,1.91,1.40,1.99,96.05,1.60,1.01,1.34,95.88,1.41,1.08,1.63,94.51,5.49,0.00,0.00,99.43,0.48,0.04,0.03,0.02
643,51.06.03.2002,Tembuku,Tembuku,Bangli,Bali,89.55,1.12,0.77,8.56,87.15,1.15,0.99,10.71,88.64,1.08,0.96,9.33,86.24,1.02,1.31,11.44,100.00,0.00,0.00,0.00,99.63,0.33,0.02,0.02,0.01
644,51.04.03.2015,Temesi,Gianyar,Gianyar,Bali,92.55,2.38,1.48,3.59,91.79,2.38,1.61,4.22,92.24,2.43,1.43,3.89,91.27,2.61,1.68,4.44,88.30,5.32,3.19,3.19,99.42,0.52,0.03,0.02,0.01
645,51.08.04.2015,Temukus,Banjar,Buleleng,Bali,72.66,14.22,7.65,5.47,68.83,14.37,10.19,6.62,69.01,14.82,10.47,5.70,67.27,14.45,11.83,6.46,75.44,24.56,0.00,0.00,99.42,0.49,0.04,0.03,0.02
646,51.07.03.2006,Tenganan,Manggis,Karangasem,Bali,87.44,2.60,1.97,8.00,86.55,2.70,2.15,8.59,87.13,2.61,2.09,8.16,86.02,2.84,2.17,8.98,99.68,0.32,0.00,0.00,99.64,0.31,0.02,0.02,0.02
647,51.02.08.2008,Tengkudak,Penebel,Tabanan,Bali,95.29,1.97,1.06,1.68,94.40,2.37,1.29,1.93,95.19,2.08,1.11,1.61,94.28,2.39,1.31,2.02,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
648,51.06.04.2023,Terunyan,Kintamani,Bangli,Bali,74.63,17.39,1.43,6.55,74.30,0.66,18.02,7.02,74.47,16.97,1.80,6.75,74.04,0.68,17.75,7.52,100.00,0.00,0.00,0.00,99.61,0.34,0.02,0.02,0.01
649,51.07.08.2005,Tianyar Barat,Kubu,Karangasem,Bali,94.64,1.81,1.27,2.28,94.05,1.90,1.49,2.57,94.35,1.89,1.37,2.39,93.65,2.06,1.52,2.77,99.26,0.74,0.00,0.00,99.47,0.45,0.03,0.03,0.02
650,51.07.08.2006,Tianyar Tengah,Kubu,Karangasem,Bali,93.25,2.05,1.56,3.14,92.14,2.31,1.60,3.95,92.64,2.27,1.63,3.46,91.44,2.47,1.76,4.33,100.00,0.00,0.00,0.00,99.61,0.34,0.02,0.01,0.01
651,51.03.06.2004,Tibubeneng,Kuta Utara,Badung,Bali,85.71,6.44,4.50,3.35,84.25,6.75,4.78,4.21,85.10,6.59,4.72,3.60,83.52,6.84,4.94,4.70,20.11,9.20,2.30,68.39,99.52,0.42,0.03,0.02,0.01
652,51.02.04.2001,Tibubiu,Kerambitan,Tabanan,Bali,87.46,5.24,2.78,4.52,85.30,6.07,3.61,5.03,86.77,5.37,3.13,4.73,82.84,7.94,3.88,5.35,0.00,4.65,5.81,89.53,99.39,0.51,0.04,0.03,0.03
653,51.06.01.2007,Tiga,Susut,Bangli,Bali,91.34,0.80,0.82,7.04,90.65,0.84,0.74,7.76,91.01,0.72,0.77,7.50,90.16,1.00,0.77,8.07,100.00,0.00,0.00,0.00,99.69,0.29,0.01,0.01,0.01
654,51.08.04.2016,Tigawasa,Banjar,Buleleng,Bali,95.61,0.52,0.52,3.34,95.40,0.54,0.52,3.54,95.47,0.51,0.52,3.49,95.13,0.59,0.52,3.76,100.00,0.00,0.00,0.00,99.70,0.27,0.01,0.01,0.01
655,51.05.02.2007,Tihingan,Banjarangkan,Klungkung,Bali,90.78,3.91,2.25,3.06,89.87,3.47,2.88,3.78,90.37,3.66,2.75,3.22,89.27,3.41,3.13,4.19,100.00,0.00,0.00,0.00,99.49,0.44,0.02,0.02,0.02
656,51.02.03.2007,Tiying Gading,Selemadeg Barat,Tabanan,Bali,91.78,1.78,1.21,5.22,91.15,1.84,1.39,5.61,91.45,1.88,1.34,5.34,90.37,2.16,1.65,5.82,100.00,0.00,0.00,0.00,99.53,0.40,0.03,0.03,0.01
657,51.02.04.2015,Timpag,Kerambitan,Tabanan,Bali,89.80,2.36,1.86,5.98,88.73,2.76,1.94,6.57,89.31,2.49,1.93,6.27,87.93,3.12,1.96,6.99,100.00,0.00,0.00,0.00,99.45,0.43,0.05,0.04,0.03
658,51.05.02.2011,Timuhun,Banjarangkan,Klungkung,Bali,94.72,0.57,0.37,4.34,94.45,0.64,0.37,4.54,94.58,0.57,0.37,4.48,93.81,0.74,0.50,4.95,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.02,0.01
659,51.08.01.2012,Tinga-tinga,Gerokgak,Buleleng,Bali,91.21,1.43,1.00,6.36,90.54,1.54,1.06,6.85,90.92,1.44,1.04,6.60,89.99,1.65,1.19,7.17,100.00,0.00,0.00,0.00,99.49,0.43,0.04,0.03,0.01
660,51.08.03.2008,Tinggarsari,Busungbiu,Buleleng,Bali,89.06,0.98,1.06,8.90,88.76,0.85,0.85,9.54,88.89,0.80,0.98,9.32,88.17,0.76,0.89,10.17,100.00,0.00,0.00,0.00,99.73,0.23,0.02,0.01,0.01
661,51.08.04.2002,Tirtasari,Banjar,Buleleng,Bali,69.27,3.22,3.35,24.16,67.90,3.56,3.42,25.12,68.38,3.42,3.35,24.85,66.60,3.63,3.83,25.94,100.00,0.00,0.00,0.00,99.60,0.35,0.02,0.01,0.01
662,51.02.04.2005,Tista,Kerambitan,Tabanan,Bali,88.18,2.83,1.31,7.68,87.58,3.13,1.11,8.18,87.88,3.03,1.21,7.88,87.27,2.42,2.02,8.28,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.02,0.01
663,51.07.05.2004,Tista,Abang,Karangasem,Bali,91.71,2.40,1.62,4.26,90.71,2.67,1.82,4.81,91.26,2.39,1.87,4.48,90.30,2.59,1.97,5.14,100.00,0.00,0.00,0.00,99.38,0.53,0.04,0.03,0.02
664,51.08.03.2002,Tista,Busungbiu,Buleleng,Bali,90.05,1.38,1.10,7.46,89.33,1.52,1.12,8.04,89.71,1.44,1.12,7.73,88.81,1.49,1.19,8.51,100.00,0.00,0.00,0.00,99.63,0.33,0.02,0.02,0.01
665,51.08.03.2006,Titab,Busungbiu,Buleleng,Bali,79.81,1.88,1.66,16.65,79.31,1.88,1.35,17.46,79.60,1.88,1.52,17.00,78.89,1.66,1.66,17.78,100.00,0.00,0.00,0.00,99.65,0.33,0.01,0.01,0.00
666,51.07.05.2002,Tiyingtali,Abang,Karangasem,Bali,84.56,2.49,2.07,10.88,83.16,2.78,2.15,11.92,83.85,2.68,2.05,11.42,82.33,2.84,2.18,12.65,100.00,0.00,0.00,0.00,99.50,0.41,0.04,0.03,0.02
667,51.05.02.2013,Tohpati,Banjarangkan,Klungkung,Bali,96.66,0.75,0.25,2.34,96.08,1.00,0.33,2.59,96.08,1.17,0.33,2.42,95.33,1.34,0.58,2.75,100.00,0.00,0.00,0.00,99.72,0.27,0.01,0.01,0.00
668,51.05.03.2002,Tojan,Klungkung,Klungkung,Bali,87.04,8.05,4.36,0.55,85.20,7.25,6.20,1.35,86.55,7.37,5.34,0.74,83.85,7.49,6.51,2.15,30.00,15.00,5.00,50.00,99.35,0.57,0.04,0.03,0.01
669,51.71.04.1004,Tonja,Denpasar Utara,Kota Denpasar,Bali,89.24,6.76,2.77,1.23,87.23,7.59,3.16,2.02,88.77,6.80,3.04,1.38,86.40,8.11,3.32,2.17,96.67,3.33,0.00,0.00,99.37,0.51,0.05,0.04,0.02
670,51.07.02.2007,Tri Eka Buana,Sidemen,Karangasem,Bali,92.06,1.81,1.53,4.60,91.06,2.14,1.61,5.19,91.65,1.96,1.67,4.73,90.75,2.02,1.57,5.66,100.00,0.00,0.00,0.00,99.70,0.27,0.02,0.01,0.01
671,51.07.05.2014,Tri Buana,Abang,Karangasem,Bali,89.07,2.05,1.68,7.20,88.04,2.21,1.90,7.86,88.45,2.10,1.86,7.59,87.78,2.15,2.05,8.02,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.02,0.01
672,51.02.07.2011,Tua,Marga,Tabanan,Bali,92.88,2.03,1.18,3.91,92.24,2.12,1.49,4.15,92.53,2.07,1.34,4.05,91.25,2.78,1.41,4.55,100.00,0.00,0.00,0.00,99.52,0.41,0.03,0.02,0.02
673,51.03.01.1001,Tuban,Kuta,Badung,Bali,81.72,16.59,1.45,0.23,80.31,15.47,3.92,0.30,80.73,16.34,2.61,0.31,78.37,15.97,5.18,0.48,0.00,0.68,0.00,99.32,99.31,0.54,0.06,0.05,0.04
674,51.01.04.2009,Tukadaya,Melaya,Jembrana,Bali,87.71,2.65,2.28,7.36,86.39,2.72,2.35,8.54,87.03,2.67,2.36,7.94,85.62,2.69,2.43,9.26,99.20,0.80,0.00,0.00,99.57,0.36,0.02,0.02,0.02
675,51.08.06.2003,Tukadmungga,Buleleng,Buleleng,Bali,70.28,21.29,6.31,2.13,67.15,20.80,8.88,3.17,67.79,21.00,8.11,3.09,65.30,17.47,12.97,4.26,100.00,0.00,0.00,0.00,99.35,0.56,0.05,0.03,0.01
676,51.08.01.2014,Tukadsumaga,Gerokgak,Buleleng,Bali,90.00,2.00,1.78,6.22,89.14,2.15,1.88,6.83,89.54,2.11,1.85,6.50,88.65,2.16,1.89,7.29,100.00,0.00,0.00,0.00,99.65,0.32,0.02,0.01,0.00
677,51.07.08.2007,Tulamben,Kubu,Karangasem,Bali,95.71,1.21,0.98,2.10,95.17,1.39,1.06,2.37,95.25,1.36,1.08,2.31,93.61,2.02,1.34,3.04,97.86,2.14,0.00,0.00,99.46,0.49,0.03,0.02,0.01
678,51.04.03.2001,Tulikup,Gianyar,Gianyar,Bali,90.43,3.21,2.76,3.60,88.83,3.70,3.01,4.46,89.85,3.32,2.87,3.97,87.92,4.14,3.07,4.88,74.32,4.73,2.03,18.92,99.45,0.45,0.04,0.04,0.02
679,51.03.02.2019,Tumbakbayuh,Mengwi,Badung,Bali,86.96,5.92,3.77,3.35,83.87,6.63,4.64,4.86,85.51,6.05,4.38,4.06,82.07,6.92,5.18,5.83,74.65,15.49,4.23,5.63,99.35,0.56,0.04,0.03,0.02
680,51.07.04.2005,Tumbu,Karangasem,Karangasem,Bali,80.59,3.92,3.76,11.72,79.50,4.04,3.56,12.90,80.11,4.10,3.65,12.13,78.73,4.04,3.58,13.65,89.42,5.77,3.85,0.96,99.39,0.53,0.04,0.03,0.02
681,51.02.05.2010,Tunjuk,Tabanan,Tabanan,Bali,87.57,4.25,3.05,5.13,86.79,4.37,3.05,5.80,87.61,4.23,2.73,5.43,86.25,4.52,3.09,6.14,100.00,0.00,0.00,0.00,99.41,0.50,0.04,0.03,0.02
682,51.08.08.2005,Tunjung,Kubutambahan,Buleleng,Bali,96.27,0.90,0.63,2.19,95.66,1.07,0.79,2.48,95.93,0.97,0.79,2.31,95.50,1.05,0.71,2.75,100.00,0.00,0.00,0.00,99.54,0.36,0.04,0.04,0.02
683,51.05.02.2004,Tusan,Banjarangkan,Klungkung,Bali,94.03,2.38,1.09,2.49,92.69,3.03,1.12,3.17,93.81,2.41,1.04,2.75,92.10,3.14,1.34,3.42,100.00,0.00,0.00,0.00,99.53,0.38,0.04,0.03,0.02
684,51.01.04.2008,Tuwed,Melaya,Jembrana,Bali,74.44,15.52,5.33,4.71,72.17,15.76,5.98,6.08,73.33,15.78,5.78,5.11,71.11,15.82,6.26,6.81,43.58,14.68,7.80,33.94,99.62,0.31,0.02,0.02,0.03
685,51.04.05.1005,Ubud,Ubud,Gianyar,Bali,90.98,3.52,1.71,3.79,89.60,3.83,2.20,4.38,90.53,3.48,1.99,4.00,88.65,4.23,2.28,4.84,100.00,0.00,0.00,0.00,99.42,0.50,0.03,0.03,0.02
686,51.71.04.1007,Ubung,Denpasar Utara,Kota Denpasar,Bali,88.11,4.99,3.21,3.69,87.06,4.75,3.50,4.70,87.54,4.84,3.64,3.98,86.86,4.51,3.64,4.99,95.65,4.35,0.00,0.00,99.45,0.46,0.04,0.03,0.02
687,51.71.04.2008,Ubung Kaja,Denpasar Utara,Kota Denpasar,Bali,88.39,4.14,3.31,4.16,87.24,4.39,3.06,5.31,87.84,4.14,3.42,4.61,87.00,4.32,3.17,5.51,100.00,0.00,0.00,0.00,99.42,0.48,0.04,0.03,0.02
688,51.07.03.2003,Ulakan,Manggis,Karangasem,Bali,87.86,3.64,3.04,5.46,86.06,3.83,3.29,6.83,86.06,3.66,3.51,6.77,84.61,3.91,3.54,7.94,87.50,3.79,1.52,7.20,99.64,0.31,0.02,0.02,0.01
689,51.08.02.2002,Ularan,Seririt,Buleleng,Bali,88.50,0.69,0.61,10.20,88.24,0.76,0.56,10.44,88.34,0.73,0.58,10.35,87.85,0.91,0.49,10.74,100.00,0.00,0.00,0.00,99.78,0.18,0.01,0.01,0.01
690,51.06.04.2003,Ulian,Kintamani,Bangli,Bali,92.74,0.55,0.44,6.27,92.21,0.61,0.55,6.63,92.36,0.55,0.59,6.50,91.91,0.59,0.55,6.95,100.00,0.00,0.00,0.00,99.71,0.25,0.02,0.02,0.01
691,51.08.02.2021,Umeanyar,Seririt,Buleleng,Bali,86.22,9.02,2.71,2.05,80.77,13.24,3.49,2.50,84.58,10.17,2.91,2.34,84.09,10.21,3.20,2.50,100.00,0.00,0.00,0.00,99.45,0.50,0.02,0.02,0.01
692,51.08.03.2014,Umejero,Busungbiu,Buleleng,Bali,92.44,0.78,0.75,6.03,91.92,0.84,0.79,6.45,92.18,0.85,0.81,6.16,91.51,0.75,0.87,6.87,100.00,0.00,0.00,0.00,99.66,0.30,0.02,0.01,0.01
693,51.06.03.2004,Undisan,Tembuku,Bangli,Bali,93.77,1.10,0.71,4.42,91.15,1.78,0.98,6.08,92.85,1.28,1.01,4.87,89.28,2.05,1.60,7.06,100.00,0.00,0.00,0.00,99.68,0.27,0.02,0.02,0.01
694,51.03.05.2002,Ungasan,Kuta Selatan,Badung,Bali,93.01,2.40,1.78,2.81,92.47,2.55,1.97,3.01,92.56,2.52,1.94,2.98,91.85,2.69,2.08,3.38,97.07,2.44,0.49,0.00,99.52,0.38,0.04,0.04,0.02
695,51.08.02.2001,Unggahan,Seririt,Buleleng,Bali,90.53,0.89,0.87,7.70,90.21,0.95,0.81,8.04,90.39,0.91,0.81,7.89,89.94,0.99,0.79,8.29,100.00,0.00,0.00,0.00,99.53,0.41,0.03,0.02,0.01
696,51.02.01.2002,Wanagiri,Selemadeg,Tabanan,Bali,91.67,1.17,0.91,6.25,91.34,1.16,1.06,6.45,91.56,1.16,1.00,6.28,91.01,1.25,1.01,6.73,100.00,0.00,0.00,0.00,99.76,0.22,0.01,0.01,0.00
697,51.08.05.2002,Wanagiri,Sukasada,Buleleng,Bali,96.26,0.68,0.54,2.52,95.92,0.76,0.56,2.76,96.08,0.72,0.59,2.62,95.55,0.79,0.73,2.93,100.00,0.00,0.00,0.00,99.56,0.41,0.02,0.01,0.00
698,51.02.01.2008,Wanagiri Kauh,Selemadeg,Tabanan,Bali,88.56,1.48,1.25,8.71,87.88,1.66,1.29,9.17,88.28,1.50,1.28,8.93,87.42,1.70,1.35,9.53,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.01,0.01
699,51.02.05.2009,Wanasari,Tabanan,Tabanan,Bali,87.44,3.61,3.36,5.59,86.33,3.73,3.09,6.86,86.86,3.82,3.25,6.07,85.40,3.88,3.30,7.41,100.00,0.00,0.00,0.00,99.49,0.44,0.03,0.03,0.02
700,51.01.04.2006,Warnasari,Melaya,Jembrana,Bali,85.24,5.52,3.88,5.36,83.27,6.14,4.18,6.42,84.20,5.85,3.96,5.99,81.94,6.40,4.58,7.08,100.00,0.00,0.00,0.00,99.66,0.29,0.02,0.02,0.01
701,51.03.02.2013,Werdi Bhuwana,Mengwi,Badung,Bali,92.57,2.53,1.98,2.92,91.58,2.66,2.01,3.75,92.18,2.53,1.98,3.31,90.77,3.13,1.96,4.15,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.04,0.02
702,51.07.02.2010,Wisma Kerta,Sidemen,Karangasem,Bali,75.19,3.69,4.07,17.05,73.38,3.72,3.69,19.21,74.47,3.62,3.90,18.01,72.23,4.00,3.43,20.34,100.00,0.00,0.00,0.00,99.63,0.34,0.02,0.01,0.00
703,51.02.08.2014,Wongaya Gede,Penebel,Tabanan,Bali,91.89,1.01,0.91,6.18,91.30,1.13,0.96,6.60,91.57,1.15,0.86,6.42,91.03,1.20,0.97,6.80,100.00,0.00,0.00,0.00,99.83,0.15,0.01,0.01,0.01
704,51.06.03.2003,Yangapi,Tembuku,Bangli,Bali,91.88,1.25,1.13,5.75,91.22,1.38,1.13,6.27,91.60,1.37,1.03,6.00,90.67,1.47,1.13,6.72,100.00,0.00,0.00,0.00,99.63,0.33,0.02,0.02,0.01
705,51.01.02.2009,Yeh Sumbul,Mendoyo,Jembrana,Bali,89.25,1.69,1.34,7.72,88.28,1.73,1.62,8.37,88.61,1.79,1.48,8.13,87.90,1.55,1.68,8.87,95.62,2.43,0.73,1.22,99.71,0.26,0.02,0.01,0.00
706,51.01.02.2008,Yehembang,Mendoyo,Jembrana,Bali,89.37,1.79,1.25,7.59,88.59,2.01,1.26,8.14,88.99,1.90,1.26,7.85,88.09,2.10,1.26,8.55,93.24,4.61,0.61,1.54,99.81,0.16,0.01,0.01,0.01
707,51.01.02.2011,Yehembang Kangin,Mendoyo,Jembrana,Bali,89.23,1.22,1.01,8.54,88.63,1.08,1.06,9.23,88.86,1.18,1.00,8.95,88.21,1.15,1.02,9.62,97.98,1.34,0.19,0.48,99.55,0.37,0.03,0.03,0.02
708,51.01.02.2010,Yehembang Kauh,Mendoyo,Jembrana,Bali,90.07,1.03,0.93,7.97,89.52,1.04,0.96,8.48,89.73,1.05,0.95,8.27,89.16,1.03,1.02,8.79,100.00,0.00,0.00,0.00,99.52,0.39,0.03,0.03,0.03
709,51.01.05.2008,Yehkuning,Jembrana,Jembrana,Bali,78.96,16.06,2.93,2.05,75.67,17.89,3.37,3.07,77.28,17.05,2.96,2.71,73.62,17.31,6.00,3.07,0.00,0.00,19.35,80.65,99.42,0.48,0.04,0.04,0.03
710,51.01.04.1001,Gilimanuk,Melaya,Jembrana,Bali,90.85,3.05,1.75,4.35,90.03,3.28,1.95,4.74,90.63,3.12,1.73,4.52,89.69,3.28,2.04,5.00,70.19,13.70,5.93,10.19,99.68,0.29,0.02,0.01,0.01
711,51.08.01.2003,Sumberkima,Gerokgak,Buleleng,Bali,86.12,5.48,2.87,5.53,84.21,5.62,3.76,6.40,85.22,5.48,3.38,5.92,82.91,5.86,4.24,6.99,92.56,7.44,0.00,0.00,99.72,0.24,0.02,0.01,0.01
